City,Country,Gases Included,Emissions Column Number,Emissions Column Name,Emissions Row Number,Emissions Row Name,Emissions Response Answer,Emissions Description,Emissions Data Reported,Inventory Year,Population in inventory year,City_Location,Last update,Organization Name
Spokane,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,6,Stationary energy > Fugitive emissions^,0,0601 Stationary energy > Fugitive emissions^ - Direct,0,2016,215144,,04/02/2023 4:08:42 AM,"City of Spokane, WA"
San Francisco,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,1,Stationary energy > Residential buildings^,686234,0101 Stationary energy > Residential buildings^ - Direct,1,2019,881549,POINT (-122.419 37.7749),04/02/2023 4:08:42 AM,"City of San Francisco, CA"
Houston,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),17,Waste > Wastewater^,0,1705 Waste > Wastewater^ - Outside Boundary,1,2019/2020,2320268,POINT (-95.3694 29.7602),04/02/2023 4:08:42 AM,"City of Houston, TX"
La Crosse,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),23,AFOLU > Land use,0,2305 AFOLU > Land use - Outside Boundary,0,2020,52690,POINT (-91.2476 43.8166),04/02/2023 4:08:42 AM,"City of La Crosse, WI"
Roanoke,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,19,IPPU > Industrial process,0,1901 IPPU > Industrial process - Direct,0,2019,99229,POINT (-79.9414 37.271),04/02/2023 4:08:42 AM,"City of Roanoke, VA"
,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),15,Waste > Biological treatment^,0,1505 Waste > Biological treatment^ - Outside Boundary,0,2015,2137829,,04/02/2023 4:08:42 AM,Mid-America Regional Council
South Bend,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),2,Stationary energy > Commercial buildings & facilities^,0,0205 Stationary energy > Commercial buildings & facilities^ - Outside Boundary,0,2021,103453,POINT (41.6754 -86.2532),04/02/2023 4:08:42 AM,"City of South Bend, IN"
Austin,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),28,Generation of grid-supplied energy > Heat/cold generation^,0,2805 Generation of grid-supplied energy > Heat/cold generation^ - Outside Boundary,1,2020,1272018,POINT (-97.7431 30.2672),04/02/2023 4:08:42 AM,"City of Austin, TX"
Bellingham,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),15,Waste > Biological treatment^,0,1505 Waste > Biological treatment^ - Outside Boundary,1,2020,90821,POINT (-122.479 48.7519),04/02/2023 4:08:42 AM,"City of Bellingham, WA"
Providence,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),8,Transportation > On-road^,0,0805 Transportation > On-road^ - Outside Boundary,0,2018,179435,POINT (-71.4128 41.824),04/02/2023 4:08:42 AM,"City of Providence, RI"
,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",5,Stationary energy > Agriculture^,0,0503 Stationary energy > Agriculture^ - Indirect,1,2019,13290,,04/02/2023 4:08:42 AM,"Town of York, ME"
Alameda,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),30,Total generation of grid-supplied energy,0,3005 Total generation of grid-supplied energy - Outside Boundary,1,2015,76733,POINT (122.163 37.4522),04/02/2023 4:08:42 AM,"City of Alameda, CA"
,United States of America,CH4; CO2; N2O,1,Emissions (metric tonnes CO2e),1,Total Scope 1 emissions (excluding generation of grid-supplied energy),401034,0101 Total Scope 1 emissions (excluding generation of grid-supplied energy),1,2019,96577,,04/02/2023 4:08:42 AM,"City of Longmont, CO"
,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),21,Total IPPU,0,2105 Total IPPU - Outside Boundary,0,2019,23000,,04/02/2023 4:08:42 AM,"City of Oxford, OH"
Flagstaff,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",8,Transportation > On-road^,0,0803 Transportation > On-road^ - Indirect,1,2021,76338,POINT (-111.631 35.1992),04/02/2023 4:08:42 AM,"City of Flagstaff, AZ"
Alameda,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,21,Total IPPU,0,2101 Total IPPU - Direct,0,2015,76733,POINT (122.163 37.4522),04/02/2023 4:08:42 AM,"City of Alameda, CA"
Alameda,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),25,Total AFOLU,0,2505 Total AFOLU - Outside Boundary,1,2015,76733,POINT (122.163 37.4522),04/02/2023 4:08:42 AM,"City of Alameda, CA"
Des Moines,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,27,Generation of grid-supplied energy > CHP generation^,0,2701 Generation of grid-supplied energy > CHP generation^ - Direct,1,2019,215932,,04/02/2023 4:08:42 AM,"City of Des Moines, IA"
Chicago,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),28,Generation of grid-supplied energy > Heat/cold generation^,0,2805 Generation of grid-supplied energy > Heat/cold generation^ - Outside Boundary,1,2019,2746388,POINT (-87.6298 41.8781),04/02/2023 4:08:42 AM,"City of Chicago, IL"
Portland,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,6,Stationary energy > Fugitive emissions^,0,0601 Stationary energy > Fugitive emissions^ - Direct,1,2017,66715,POINT (-70.2553 43.6615),04/02/2023 4:08:42 AM,"City of Portland, ME"
,United States of America,CH4; CO2; HFCs; N2O; PFCs; SF6,1,Direct emissions (metric tonnes CO2e)^,15,Waste > Biological treatment^,0,1501 Waste > Biological treatment^ - Direct,1,2019,30569,,04/02/2023 4:08:42 AM,"City of Ithaca, NY"
Memphis,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),1,Stationary energy > Residential buildings^,0,0105 Stationary energy > Residential buildings^ - Outside Boundary,0,2019,937166,POINT (-90.049 35.1495),04/02/2023 4:08:42 AM,"City of Memphis, TN"
Orlando,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",8,Transportation > On-road^,0,0803 Transportation > On-road^ - Indirect,1,2018,280258,POINT (-81.3792 28.5383),04/02/2023 4:08:42 AM,"City of Orlando, FL"
,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,25,Total AFOLU,0,2501 Total AFOLU - Direct,1,2019,4254028,,04/02/2023 4:08:42 AM,East Central Florida Regional Planning Council
Tacoma,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",1,Stationary energy > Residential buildings^,18215,0103 Stationary energy > Residential buildings^ - Indirect,1,2019,216304,POINT (-122.444 47.2529),04/02/2023 4:08:42 AM,"City of Tacoma, WA"
Boston,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),3,Stationary energy > Institutional buildings & facilities^,0,0305 Stationary energy > Institutional buildings & facilities^ - Outside Boundary,0,2020,675647,POINT (-71.0598 42.3584),04/02/2023 4:08:42 AM,"City of Boston, MA"
Charlotte,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),29,Generation of grid-supplied energy > Local renewable generation,0,2905 Generation of grid-supplied energy > Local renewable generation - Outside Boundary,1,2019,868000,POINT (-80.8431 35.2271),04/02/2023 4:08:42 AM,"City of Charlotte, NC"
,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),27,Generation of grid-supplied energy > CHP generation^,0,2705 Generation of grid-supplied energy > CHP generation^ - Outside Boundary,1,2020,1253889,,04/02/2023 4:08:42 AM,"Cuyahoga County, OH"
,United States of America,CH4; CO2; HFCs; N2O; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),30,Total generation of grid-supplied energy,0,3005 Total generation of grid-supplied energy - Outside Boundary,0,2019,52770,,04/02/2023 4:08:42 AM,"City of Olympia, WA"
St. Petersburg,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),26,Generation of grid-supplied energy > Electricity-only generation^,0,2605 Generation of grid-supplied energy > Electricity-only generation^ - Outside Boundary,0,2016,253585,,04/02/2023 4:08:42 AM,"City of St. Petersburg, FL"
Beaverton,United States of America,,1,Direct emissions (metric tonnes CO2e)^,15,Waste > Biological treatment^,0,1501 Waste > Biological treatment^ - Direct,1,2017,95710,POINT (-122.797 45.4857),04/02/2023 4:08:42 AM,"City of Beaverton, OR"
,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,1,Direct emissions (metric tonnes CO2e)^,7,Total Stationary Energy,37973074,0701 Total Stationary Energy - Direct,1,2019,8577735,,04/02/2023 4:08:42 AM,Chicago Metropolitan Mayors Caucus
Easton,United States of America,CO2,1,Direct emissions (metric tonnes CO2e)^,31,Total Emissions (excluding generation of grid-supplied energy),131408.57,3101 Total Emissions (excluding generation of grid-supplied energy) - Direct,1,2018,27000,POINT (-75.2207 40.6884),04/02/2023 4:08:42 AM,"City of Easton, PA"
,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),12,Transportation > Off-road^,0,1205 Transportation > Off-road^ - Outside Boundary,0,2018,23203,,04/02/2023 4:08:42 AM,"City of Greenbelt, MD"
San Diego,United States of America,CO2,1,Direct emissions (metric tonnes CO2e)^,9,Transportation > Rail^,0,0901 Transportation > Rail^ - Direct,0,2019/2020,1400000,POINT (-117.163 32.7175),04/02/2023 4:08:42 AM,"City of San Diego, CA"
Salt Lake City,United States of America,,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),2,Stationary energy > Commercial buildings & facilities^,0,0205 Stationary energy > Commercial buildings & facilities^ - Outside Boundary,0,,0,POINT (-111.891 40.7608),04/02/2023 4:08:42 AM,"Salt Lake City, UT"
"Lexington, MA",United States of America,CO2,1,Direct emissions (metric tonnes CO2e)^,28,Generation of grid-supplied energy > Heat/cold generation^,0,2801 Generation of grid-supplied energy > Heat/cold generation^ - Direct,1,2015,32000,POINT (-71.2269 42.4443),04/02/2023 4:08:42 AM,"Town of Lexington, MA"
Eau Claire,United States of America,CH4; CO2; HFCs; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),31,Total Emissions (excluding generation of grid-supplied energy),0,3105 Total Emissions (excluding generation of grid-supplied energy) - Outside Boundary,0,2020,69421,,04/02/2023 4:08:42 AM,"City of Eau Claire, WI"
New Bedford,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,31,Total Emissions (excluding generation of grid-supplied energy),575898,3101 Total Emissions (excluding generation of grid-supplied energy) - Direct,1,2017,95125,POINT (-70.9342 41.6362),04/02/2023 4:08:42 AM,"City of New Bedford, MA"
San Antonio,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),28,Generation of grid-supplied energy > Heat/cold generation^,0,2805 Generation of grid-supplied energy > Heat/cold generation^ - Outside Boundary,1,2019,1451853,POINT (-98.4936 29.4241),04/02/2023 4:08:42 AM,"City of San Antonio, TX"
Hayward,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),26,Generation of grid-supplied energy > Electricity-only generation^,0,2605 Generation of grid-supplied energy > Electricity-only generation^ - Outside Boundary,1,2019,160197,POINT (-122.081 37.6689),04/02/2023 4:08:42 AM,"City of Hayward, CA"
,United States of America,CH4; CO2; HFCs; N2O; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),27,Generation of grid-supplied energy > CHP generation^,0,2705 Generation of grid-supplied energy > CHP generation^ - Outside Boundary,0,2019,52770,,04/02/2023 4:08:42 AM,"City of Olympia, WA"
Reno,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,1,Direct emissions (metric tonnes CO2e)^,2,Stationary energy > Commercial buildings & facilities^,887000,0201 Stationary energy > Commercial buildings & facilities^ - Direct,1,2020,264165,POINT (-119.814 39.5296),04/02/2023 4:08:42 AM,"City of Reno, NV"
Bloomington,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,15,Waste > Biological treatment^,0,1501 Waste > Biological treatment^ - Direct,1,2018,85000,POINT (-86.5264 39.1653),04/02/2023 4:08:42 AM,"City of Bloomington, IN"
San Francisco,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),21,Total IPPU,0,2105 Total IPPU - Outside Boundary,0,2019,881549,POINT (-122.419 37.7749),04/02/2023 4:08:42 AM,"City of San Francisco, CA"
"Lexington, MA",United States of America,CO2,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),21,Total IPPU,0,2105 Total IPPU - Outside Boundary,1,2015,32000,POINT (-71.2269 42.4443),04/02/2023 4:08:42 AM,"Town of Lexington, MA"
Manhattan Beach,United States of America,CO2,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),5,Stationary energy > Agriculture^,0,0505 Stationary energy > Agriculture^ - Outside Boundary,1,2020,35064,POINT (-118.405 33.8889),04/02/2023 4:08:42 AM,"City of Manhattan Beach, CA"
"Portland, OR",United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,27,Generation of grid-supplied energy > CHP generation^,0,2701 Generation of grid-supplied energy > CHP generation^ - Direct,1,2020,829560,POINT (-122.682 45.52),04/02/2023 4:08:42 AM,"City of Portland, OR"
Tacoma,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,16,Waste > Incineration and open burning^,0,1601 Waste > Incineration and open burning^ - Direct,1,2019,216304,POINT (-122.444 47.2529),04/02/2023 4:08:42 AM,"City of Tacoma, WA"
Honolulu,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),15,Waste > Biological treatment^,0,1505 Waste > Biological treatment^ - Outside Boundary,1,2020,1016410,POINT (157.59 21.28),04/02/2023 4:08:42 AM,"City and County of Honolulu, HI"
Nashville,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,29,Generation of grid-supplied energy > Local renewable generation,0,2901 Generation of grid-supplied energy > Local renewable generation - Direct,1,2019,694144,POINT (-86.7816 36.1627),04/02/2023 4:08:42 AM,"Metropolitan Government of Nashville and Davidson County, TN"
Alameda,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,17,Waste > Wastewater^,3207,1701 Waste > Wastewater^ - Direct,1,2015,76733,POINT (122.163 37.4522),04/02/2023 4:08:42 AM,"City of Alameda, CA"
"Santa Cruz, CA",United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),1,Stationary energy > Residential buildings^,0,0105 Stationary energy > Residential buildings^ - Outside Boundary,1,2019,65041,POINT (-122.031 36.9741),04/02/2023 4:08:42 AM,"City of Santa Cruz, CA"
Portland,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),10,Transportation > Waterborne navigation^,0,1005 Transportation > Waterborne navigation^ - Outside Boundary,1,2017,66715,POINT (-70.2553 43.6615),04/02/2023 4:08:42 AM,"City of Portland, ME"
San Francisco,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),26,Generation of grid-supplied energy > Electricity-only generation^,0,2605 Generation of grid-supplied energy > Electricity-only generation^ - Outside Boundary,0,2019,881549,POINT (-122.419 37.7749),04/02/2023 4:08:42 AM,"City of San Francisco, CA"
Park City,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",9,Transportation > Rail^,0,0903 Transportation > Rail^ - Indirect,1,2016,8299,POINT (-111.498 40.6461),04/02/2023 4:08:42 AM,"City of Park City, UT"
Reno,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),20,IPPU > Product use,0,2005 IPPU > Product use - Outside Boundary,1,2020,264165,POINT (-119.814 39.5296),04/02/2023 4:08:42 AM,"City of Reno, NV"
Berkeley,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,16,Waste > Incineration and open burning^,0,1601 Waste > Incineration and open burning^ - Direct,1,2020,124321,,04/02/2023 4:08:42 AM,"City of Berkeley, CA"
,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),14,Waste > Solid waste disposal^,15496.79,1405 Waste > Solid waste disposal^ - Outside Boundary,1,2019,23000,,04/02/2023 4:08:42 AM,"City of Oxford, OH"
"San José, CA",United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),27,Generation of grid-supplied energy > CHP generation^,0,2705 Generation of grid-supplied energy > CHP generation^ - Outside Boundary,1,2019,1047871,POINT (-121.886 37.3382),04/02/2023 4:08:42 AM,"City of San José, CA"
Bellingham,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),21,Total IPPU,0,2105 Total IPPU - Outside Boundary,0,2020,90821,POINT (-122.479 48.7519),04/02/2023 4:08:42 AM,"City of Bellingham, WA"
La Crosse,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),3,Stationary energy > Institutional buildings & facilities^,0,0305 Stationary energy > Institutional buildings & facilities^ - Outside Boundary,1,2020,52690,POINT (-91.2476 43.8166),04/02/2023 4:08:42 AM,"City of La Crosse, WI"
,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,2,Stationary energy > Commercial buildings & facilities^,1394303,0201 Stationary energy > Commercial buildings & facilities^ - Direct,1,2020,1253889,,04/02/2023 4:08:42 AM,"Cuyahoga County, OH"
Louisville,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),9,Transportation > Rail^,30141,0905 Transportation > Rail^ - Outside Boundary,1,2016,765352,POINT (-85.6784 38.196),04/02/2023 4:08:42 AM,"City of Louisville, KY"
Grand Rapids,United States of America,CH4; CO2; HFCs; N2O; PFCs; SF6,1,Direct emissions (metric tonnes CO2e)^,11,Transportation > Aviation^,0,1101 Transportation > Aviation^ - Direct,1,2009,193396,,04/02/2023 4:08:42 AM,"City of Grand Rapids, MI"
Palo Alto,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",5,Stationary energy > Agriculture^,0,0503 Stationary energy > Agriculture^ - Indirect,1,2020,67973,POINT (-122.143 37.4419),04/02/2023 4:08:42 AM,"City of Palo Alto, CA"
,United States of America,,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),3,Stationary energy > Institutional buildings & facilities^,0,0305 Stationary energy > Institutional buildings & facilities^ - Outside Boundary,0,,0,,04/02/2023 4:08:42 AM,"City of Urbana, IL"
,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,1,Direct emissions (metric tonnes CO2e)^,5,Stationary energy > Agriculture^,252380,0501 Stationary energy > Agriculture^ - Direct,1,2015,2137829,,04/02/2023 4:08:42 AM,Mid-America Regional Council
San Diego,United States of America,CO2,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",7,Total Stationary Energy,2476769,0703 Total Stationary Energy - Indirect,1,2019/2020,1400000,POINT (-117.163 32.7175),04/02/2023 4:08:42 AM,"City of San Diego, CA"
,United States of America,CH4; CO2; HFCs; N2O; PFCs; SF6,1,Direct emissions (metric tonnes CO2e)^,26,Generation of grid-supplied energy > Electricity-only generation^,0,2601 Generation of grid-supplied energy > Electricity-only generation^ - Direct,1,2019,52770,,04/02/2023 4:08:42 AM,"City of Olympia, WA"
Easton,United States of America,CO2,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),27,Generation of grid-supplied energy > CHP generation^,0,2705 Generation of grid-supplied energy > CHP generation^ - Outside Boundary,0,2018,27000,POINT (-75.2207 40.6884),04/02/2023 4:08:42 AM,"City of Easton, PA"
,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),22,AFOLU > Livestock,0,2205 AFOLU > Livestock - Outside Boundary,1,2019,4254028,,04/02/2023 4:08:42 AM,East Central Florida Regional Planning Council
Nashville,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,30,Total generation of grid-supplied energy,0,3001 Total generation of grid-supplied energy - Direct,1,2019,694144,POINT (-86.7816 36.1627),04/02/2023 4:08:42 AM,"Metropolitan Government of Nashville and Davidson County, TN"
New Bedford,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,16,Waste > Incineration and open burning^,0,1601 Waste > Incineration and open burning^ - Direct,1,2017,95125,POINT (-70.9342 41.6362),04/02/2023 4:08:42 AM,"City of New Bedford, MA"
Bellingham,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,25,Total AFOLU,0,2501 Total AFOLU - Direct,0,2020,90821,POINT (-122.479 48.7519),04/02/2023 4:08:42 AM,"City of Bellingham, WA"
Hallandale Beach,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",8,Transportation > On-road^,0,0803 Transportation > On-road^ - Indirect,0,2021,39901,POINT (-80.1484 25.9812),04/02/2023 4:08:42 AM,"City of Hallandale Beach, FL"
Phoenix,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,11,Transportation > Aviation^,1056081,1101 Transportation > Aviation^ - Direct,1,2020,1654675,POINT (-112.074 33.4484),04/02/2023 4:08:42 AM,"City of Phoenix, AZ"
,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),26,Generation of grid-supplied energy > Electricity-only generation^,0,2605 Generation of grid-supplied energy > Electricity-only generation^ - Outside Boundary,0,2015,2137829,,04/02/2023 4:08:42 AM,Mid-America Regional Council
Des Moines,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),31,Total Emissions (excluding generation of grid-supplied energy),8872.07,3105 Total Emissions (excluding generation of grid-supplied energy) - Outside Boundary,1,2019,215932,,04/02/2023 4:08:42 AM,"City of Des Moines, IA"
,United States of America,,1,Direct emissions (metric tonnes CO2e)^,16,Waste > Incineration and open burning^,0,1601 Waste > Incineration and open burning^ - Direct,0,,0,,04/02/2023 4:08:42 AM,"City of Urbana, IL"
San Francisco,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,7,Total Stationary Energy,1599708,0701 Total Stationary Energy - Direct,1,2019,881549,POINT (-122.419 37.7749),04/02/2023 4:08:42 AM,"City of San Francisco, CA"
Albany,United States of America,CO2,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),20,IPPU > Product use,0,2005 IPPU > Product use - Outside Boundary,0,2019,99224,POINT (-73.7562 42.6526),04/02/2023 4:08:42 AM,"City of Albany, NY"
,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",10,Transportation > Waterborne navigation^,0,1003 Transportation > Waterborne navigation^ - Indirect,0,2016,42074,,04/02/2023 4:08:42 AM,"State College Borough, PA"
Atlanta,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),3,Stationary energy > Institutional buildings & facilities^,0,0305 Stationary energy > Institutional buildings & facilities^ - Outside Boundary,0,2019,488800,POINT (-84.388 33.749),04/02/2023 4:08:42 AM,"City of Atlanta, GA"
Cincinnati,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),25,Total AFOLU,0,2505 Total AFOLU - Outside Boundary,1,2019,300357,POINT (-84.512 39.1031),04/02/2023 4:08:42 AM,"City of Cincinnati, OH"
Wellfleet,United States of America,CH4; CO2,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",4,Stationary energy > Industrial buildings & facilities^,0,0403 Stationary energy > Industrial buildings & facilities^ - Indirect,1,,0,POINT (-70.031 41.9305),04/02/2023 4:08:42 AM,"Town of Wellfleet, MA"
Phoenix,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),22,AFOLU > Livestock,0,2205 AFOLU > Livestock - Outside Boundary,0,2020,1654675,POINT (-112.074 33.4484),04/02/2023 4:08:42 AM,"City of Phoenix, AZ"
,United States of America,CH4; CO2; HFCs; N2O; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),21,Total IPPU,0,2105 Total IPPU - Outside Boundary,0,2019,52770,,04/02/2023 4:08:42 AM,"City of Olympia, WA"
Salt Lake City,United States of America,,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",4,Stationary energy > Industrial buildings & facilities^,364290.07,0403 Stationary energy > Industrial buildings & facilities^ - Indirect,1,,0,POINT (-111.891 40.7608),04/02/2023 4:08:42 AM,"Salt Lake City, UT"
,United States of America,CH4; CO2; N2O; NF3; SF6,1,Direct emissions (metric tonnes CO2e)^,2,Stationary energy > Commercial buildings & facilities^,35274,0201 Stationary energy > Commercial buildings & facilities^ - Direct,1,2021,30177,,04/02/2023 4:08:42 AM,"City of Highland Park, IL"
