City,Country,Gases Included,Emissions Column Number,Emissions Column Name,Emissions Row Number,Emissions Row Name,Emissions Response Answer,Emissions Description,Emissions Data Reported,Inventory Year,Population in inventory year,City_Location,Last update,Organization Name
Baltimore,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,15,Waste > Biological treatment^,0,1501 Waste > Biological treatment^ - Direct,1,2020,585708,POINT (-76.6122 39.2904),04/02/2023 4:08:42 AM,"City of Baltimore, MD"
Austin,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),7,Total Stationary Energy,0,0705 Total Stationary Energy - Outside Boundary,1,2020,1272018,POINT (-97.7431 30.2672),04/02/2023 4:08:42 AM,"City of Austin, TX"
Miami,United States of America,CH4; CO2; N2O,1,Emissions (metric tonnes CO2e),10,Transportation – Scope 3,0,1001 Transportation – Scope 3,0,2018,470914,POINT (-80.1918 25.7617),04/02/2023 4:08:42 AM,"City of Miami, FL"
West Palm Beach,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),18,Total Waste,0,1805 Total Waste - Outside Boundary,1,2018,111398,POINT (-80.0534 26.7153),04/02/2023 4:08:42 AM,"City of West Palm Beach, FL"
Tempe,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),28,Generation of grid-supplied energy > Heat/cold generation^,0,2805 Generation of grid-supplied energy > Heat/cold generation^ - Outside Boundary,0,2020,180587,POINT (-111.94 33.4255),04/02/2023 4:08:42 AM,"City of Tempe, AZ"
Takoma Park,United States of America,CH4; CO2; HFCs,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),4,Stationary energy > Industrial buildings & facilities^,0,0405 Stationary energy > Industrial buildings & facilities^ - Outside Boundary,1,2020,17703,POINT (-77.0075 38.9779),04/02/2023 4:08:42 AM,"City of Takoma Park, MD"
Houston,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),14,Waste > Solid waste disposal^,566598,1405 Waste > Solid waste disposal^ - Outside Boundary,1,2019/2020,2320268,POINT (-95.3694 29.7602),04/02/2023 4:08:42 AM,"City of Houston, TX"
Fort Collins,United States of America,CH4; CO2; N2O; SF6,1,Direct emissions (metric tonnes CO2e)^,17,Waste > Wastewater^,1369.4,1701 Waste > Wastewater^ - Direct,1,2020/2021,171264,POINT (-105.084 40.5853),04/02/2023 4:08:42 AM,"City of Fort Collins, CO"
Vail,United States of America,CH4; CO2; N2O,1,Emissions (metric tonnes CO2e),3,Total Scope 2 emissions,7387,0301 Total Scope 2 emissions,1,2018,5450,POINT (-106.374 39.6403),04/02/2023 4:08:42 AM,"Town of Vail, CO"
Pittsburgh,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),28,Generation of grid-supplied energy > Heat/cold generation^,0,2805 Generation of grid-supplied energy > Heat/cold generation^ - Outside Boundary,0,2020/2021,292537,POINT (-79.9959 40.4406),04/02/2023 4:08:42 AM,"City of Pittsburgh, PA"
Savannah,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),9,Transportation > Rail^,0,0905 Transportation > Rail^ - Outside Boundary,0,2016,144352,POINT (-81.0998 32.0835),04/02/2023 4:08:42 AM,"City of Savannah, GA"
,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,27,Generation of grid-supplied energy > CHP generation^,0,2701 Generation of grid-supplied energy > CHP generation^ - Direct,1,2016,42074,,04/02/2023 4:08:42 AM,"State College Borough, PA"
,United States of America,CH4; CO2; HFCs; N2O; PFCs; SF6,1,Direct emissions (metric tonnes CO2e)^,25,Total AFOLU,0,2501 Total AFOLU - Direct,1,2019,30569,,04/02/2023 4:08:42 AM,"City of Ithaca, NY"
,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),23,AFOLU > Land use,0,2305 AFOLU > Land use - Outside Boundary,0,2019,8577735,,04/02/2023 4:08:42 AM,Chicago Metropolitan Mayors Caucus
Providence,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,29,Generation of grid-supplied energy > Local renewable generation,0,2901 Generation of grid-supplied energy > Local renewable generation - Direct,0,2018,179435,POINT (-71.4128 41.824),04/02/2023 4:08:42 AM,"City of Providence, RI"
,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),23,AFOLU > Land use,0,2305 AFOLU > Land use - Outside Boundary,0,2020,54583,,04/02/2023 4:08:42 AM,"Village of Oak Park, IL"
Savannah,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),1,Stationary energy > Residential buildings^,0,0105 Stationary energy > Residential buildings^ - Outside Boundary,0,2016,144352,POINT (-81.0998 32.0835),04/02/2023 4:08:42 AM,"City of Savannah, GA"
,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,12,Transportation > Off-road^,0,1201 Transportation > Off-road^ - Direct,0,2018,23203,,04/02/2023 4:08:42 AM,"City of Greenbelt, MD"
,United States of America,,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),7,Total Stationary Energy,0,0705 Total Stationary Energy - Outside Boundary,0,,0,,04/02/2023 4:08:42 AM,"City of Urbana, IL"
La Crosse,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,20,IPPU > Product use,0,2001 IPPU > Product use - Direct,0,2020,52690,POINT (-91.2476 43.8166),04/02/2023 4:08:42 AM,"City of La Crosse, WI"
,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,1,Direct emissions (metric tonnes CO2e)^,30,Total generation of grid-supplied energy,0,3001 Total generation of grid-supplied energy - Direct,0,2018,19200,,04/02/2023 4:08:42 AM,"Ferndale, MI"
,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",13,Total Transport,0,1303 Total Transport - Indirect,0,2019,13290,,04/02/2023 4:08:42 AM,"Town of York, ME"
Berkeley,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",6,Stationary energy > Fugitive emissions^,0,0603 Stationary energy > Fugitive emissions^ - Indirect,1,2020,124321,,04/02/2023 4:08:42 AM,"City of Berkeley, CA"
,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,1,Emissions (metric tonnes CO2e),3,Total Scope 2 emissions,136958,0301 Total Scope 2 emissions,1,2017,55131,,04/02/2023 4:08:42 AM,"City of Hoboken, NJ"
St. Petersburg,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,31,Total Emissions (excluding generation of grid-supplied energy),0,3101 Total Emissions (excluding generation of grid-supplied energy) - Direct,0,2016,253585,,04/02/2023 4:08:42 AM,"City of St. Petersburg, FL"
,United States of America,CO2,1,Emissions (metric tonnes CO2e),17,TOTAL BASIC+ emissions,109833.94,1701 TOTAL BASIC+ emissions,1,2016,13155,,04/02/2023 4:08:42 AM,"Superior, CO"
Lansing,United States of America,,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),11,Transportation > Aviation^,0,1105 Transportation > Aviation^ - Outside Boundary,0,,0,POINT (-84.5555 42.7325),04/02/2023 4:08:42 AM,"City of Lansing, MI"
Albany,United States of America,CO2,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),26,Generation of grid-supplied energy > Electricity-only generation^,0,2605 Generation of grid-supplied energy > Electricity-only generation^ - Outside Boundary,0,2019,99224,POINT (-73.7562 42.6526),04/02/2023 4:08:42 AM,"City of Albany, NY"
Austin,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),10,Transportation > Waterborne navigation^,0,1005 Transportation > Waterborne navigation^ - Outside Boundary,1,2020,1272018,POINT (-97.7431 30.2672),04/02/2023 4:08:42 AM,"City of Austin, TX"
Manhattan Beach,United States of America,CO2,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),14,Waste > Solid waste disposal^,6258.54,1405 Waste > Solid waste disposal^ - Outside Boundary,1,2020,35064,POINT (-118.405 33.8889),04/02/2023 4:08:42 AM,"City of Manhattan Beach, CA"
Tempe,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",5,Stationary energy > Agriculture^,0,0503 Stationary energy > Agriculture^ - Indirect,1,2020,180587,POINT (-111.94 33.4255),04/02/2023 4:08:42 AM,"City of Tempe, AZ"
Salt Lake City,United States of America,,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),30,Total generation of grid-supplied energy,0,3005 Total generation of grid-supplied energy - Outside Boundary,0,,0,POINT (-111.891 40.7608),04/02/2023 4:08:42 AM,"Salt Lake City, UT"
New Bedford,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,22,AFOLU > Livestock,0,2201 AFOLU > Livestock - Direct,1,2017,95125,POINT (-70.9342 41.6362),04/02/2023 4:08:42 AM,"City of New Bedford, MA"
Spokane,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,16,Waste > Incineration and open burning^,0,1601 Waste > Incineration and open burning^ - Direct,0,2016,215144,,04/02/2023 4:08:42 AM,"City of Spokane, WA"
Salt Lake City,United States of America,,1,Direct emissions (metric tonnes CO2e)^,9,Transportation > Rail^,0,0901 Transportation > Rail^ - Direct,0,,0,POINT (-111.891 40.7608),04/02/2023 4:08:42 AM,"Salt Lake City, UT"
,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),5,Stationary energy > Agriculture^,0,0505 Stationary energy > Agriculture^ - Outside Boundary,1,2019,16293,,04/02/2023 4:08:42 AM,"Town of Durham, NH"
,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,16,Waste > Incineration and open burning^,0,1601 Waste > Incineration and open burning^ - Direct,1,2019,13290,,04/02/2023 4:08:42 AM,"Town of York, ME"
Des Moines,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),25,Total AFOLU,0,2505 Total AFOLU - Outside Boundary,0,2019,215932,,04/02/2023 4:08:42 AM,"City of Des Moines, IA"
Lakewood,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,16,Waste > Incineration and open burning^,0,1601 Waste > Incineration and open burning^ - Direct,1,2018,151411,POINT (-105.081 39.7047),04/02/2023 4:08:42 AM,"City of Lakewood, CO"
Manhattan Beach,United States of America,CO2,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),26,Generation of grid-supplied energy > Electricity-only generation^,0,2605 Generation of grid-supplied energy > Electricity-only generation^ - Outside Boundary,0,2020,35064,POINT (-118.405 33.8889),04/02/2023 4:08:42 AM,"City of Manhattan Beach, CA"
